bloque,categoria,n,pct,denominador
0_poblacion_total,agentes_totales,9482,100.0,9482
0_poblacion_total,retirados_2026plus,3891,41.036,9482
0_poblacion_total,sin_retirar_al_2070_muertos_pre_retiro,815,8.595,9482
0_poblacion_total,sin_retirar_al_2070_vivos_menores_65,4776,50.369,9482
0_poblacion_total,nan_TR_en_retirados,958,10.103,9482
0_poblacion_total,nan_TR_en_no_retirados,5591,58.964,9482
2a_nan_estado_laboral_al_retiro,fuera,537,56.054,958
2a_nan_estado_laboral_al_retiro,informal,358,37.37,958
2a_nan_estado_laboral_al_retiro,formal,55,5.741,958
2a_nan_estado_laboral_al_retiro,desempleado,8,0.835,958
2b_nan_semanas_cotizadas,semanas_igual_0_nunca_cotizo_IMSS,958,100.0,958
2b_nan_semanas_cotizadas,semanas_mayor_0_cotizo_algo,0,0.0,958
2b_nan_semanas_cotizadas,anios_formal_igual_0,958,100.0,958
2c_nan_saldo_y_pension,pension_mayor_0,0,0.0,958
2c_nan_saldo_y_pension,pension_igual_0,958,100.0,958
2c_nan_saldo_y_pension,saldo_final_mayor_0,0,0.0,958
2c_nan_saldo_y_pension,pension_mayor_0_y_salario_ref_indefinido,0,0.0,958
2c_nan_saldo_y_pension,sector_issste_True,635,66.284,958
2c_nan_saldo_y_pension,sector_issste_False,323,33.716,958
2d_nan_perfil_genero_escolaridad,M_basica-,399,41.649,958
2d_nan_perfil_genero_escolaridad,H_basica-,164,17.119,958
2d_nan_perfil_genero_escolaridad,M_media_sup,131,13.674,958
2d_nan_perfil_genero_escolaridad,M_superior,112,11.691,958
2d_nan_perfil_genero_escolaridad,H_media_sup,80,8.351,958
2d_nan_perfil_genero_escolaridad,H_superior,72,7.516,958
2e_contexto_issste_retirados_no_nan,sector_issste_True,0,0.0,2933
2e_contexto_issste_retirados_no_nan,sector_issste_False,2933,100.0,2933
3_contabilidad_retirados_2026plus,TR_igual_0,2273,58.417,3891
3_contabilidad_retirados_2026plus,TR_mayor_0,660,16.962,3891
3_contabilidad_retirados_2026plus,TR_NaN,958,24.621,3891
3_contabilidad_retirados_2026plus,suma_tres_categorias,3891,100.0,3891
3_contabilidad_retirados_2026plus,pension_igual_0,3231,83.038,3891
3_contabilidad_retirados_2026plus,TR0_mas_NaN,3231,83.038,3891
3_contabilidad_retirados_2026plus,pension_0_con_TR_mayor_0,0,0.0,3891
3_contabilidad_retirados_2026plus,pension_mayor_0_con_TR_0_o_NaN,0,0.0,3891
3bis_metricas_script,pct_pension_cero_sobre_todos,3231,83.038,3891
3bis_metricas_script,pct_tasa_cero_sobre_dropna,2273,77.497,2933
3bis_metricas_script,pct_tasa_nan_sobre_todos,958,24.621,3891
