bin,pct_retirados_cotizantes,ic95_semiancho
TR = 0 (masa en cero),84.246,0.141
"(0.00, 0.05]",0.0,0.0
"(0.05, 0.10]",0.0,0.0
"(0.10, 0.15]",0.0,0.0
"(0.15, 0.20]",0.0,0.0
"(0.20, 0.25]",0.004,0.004
"(0.25, 0.30]",0.015,0.004
"(0.30, 0.35]",0.045,0.009
"(0.35, 0.40]",0.107,0.024
"(0.40, 0.45]",0.193,0.018
"(0.45, 0.50]",0.28,0.021
"(0.50, 0.55]",0.357,0.047
"(0.55, 0.60]",0.418,0.019
"(0.60, 0.65]",0.441,0.03
"(0.65, 0.70]",0.452,0.044
"(0.70, 0.75]",0.447,0.029
"(0.75, 0.80]",0.453,0.023
"(0.80, 0.85]",0.463,0.011
"(0.85, 0.90]",0.427,0.025
"(0.90, 0.95]",0.458,0.033
"(0.95, 1.00]",0.424,0.03
"(1.00, 1.05]",7.592,0.092
"(1.05, 1.10]",0.302,0.041
"(1.10, 1.15]",0.275,0.02
"(1.15, 1.20]",0.238,0.026
TR > 1.20,2.364,0.072
