percentil,tr,ic95_semiancho,semilla_20260701,semilla_20260702,semilla_20260703,semilla_20260704,semilla_20260705
p5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p90,1.0,0.0,1.0,1.0,1.0,1.0,1.0
p95,1.0,0.0,1.0,1.0,1.0,1.0,1.0
media,0.1625,0.0018,0.1647,0.1622,0.1608,0.163,0.1616
pct_TR_cero,84.246,0.1413,84.0792,84.2243,84.3894,84.2374,84.2996
pct_TR_igual_1,7.2593,0.0888,7.3493,7.1908,7.2456,7.3163,7.1945
pct_TR_mayor_1.2,2.364,0.0722,2.4484,2.3517,2.3006,2.3927,2.3266
p10_pensionados,0.6178,0.007,0.6167,0.6271,0.6168,0.6166,0.6117
p25_pensionados,0.8813,0.0054,0.8872,0.881,0.8806,0.8827,0.875
p50_pensionados,1.0,0.0,1.0,1.0,1.0,1.0,1.0
p75_pensionados,1.0,0.0,1.0,1.0,1.0,1.0,1.0
p90_pensionados,1.4125,0.0172,1.4345,1.3984,1.4035,1.4148,1.4117
