anio,r_nominal_bruto,inflacion_dic_dic,r_real_bruto,n_afores,ponderacion
1997,0.111018,0.055726,0.052373,6,pesos_iguales
1998,0.260341,0.186091,0.0626,6,pesos_iguales
1999,0.279778,0.123187,0.139417,6,pesos_iguales
2000,0.176752,0.089593,0.079992,6,pesos_iguales
2001,0.182495,0.044035,0.13262,6,pesos_iguales
2002,0.109725,0.057005,0.049877,6,pesos_iguales
2003,0.10587,0.039765,0.063576,6,pesos_iguales
2004,0.073628,0.051908,0.020648,7,pesos_iguales
2005,0.117962,0.033327,0.081905,7,pesos_iguales
2006,0.130965,0.040533,0.08691,8,pesos_iguales
2007,0.065904,0.03759,0.027288,9,pesos_iguales
2008,0.010548,0.065281,-0.051379,9,pesos_iguales
2009,0.130668,0.035735,0.091657,9,pesos_iguales
2010,0.130742,0.044016,0.083069,9,pesos_iguales
2011,0.073212,0.038188,0.033736,9,pesos_iguales
2012,0.142549,0.035683,0.103184,9,pesos_iguales
2013,0.032137,0.03974,-0.007313,9,pesos_iguales
2014,0.10015,0.040813,0.05701,9,pesos_iguales
2015,0.026174,0.021308,0.004764,9,pesos_iguales
2016,0.053393,0.033603,0.019147,9,pesos_iguales
2017,0.09168,0.06773,0.02243,9,pesos_iguales
2018,0.018848,0.048305,-0.0281,9,pesos_iguales
2019,0.13968,0.028286,0.10833,9,pesos_iguales
2020,0.136244,0.031501,0.101545,9,pesos_iguales
2021,0.074325,0.073551,0.000721,9,pesos_iguales
2022,-0.021865,0.07817,-0.092782,9,pesos_iguales
2023,0.090412,0.046609,0.041853,9,pesos_iguales
2024,0.087047,0.042123,0.043108,9,pesos_iguales
2025,0.168965,0.036919,0.127344,9,pesos_iguales
