anio,mes,ta_sal,masa_sal_ta,sbc_diario_nominal
1997,12,10296867,914687757.09,88.8317
1998,12,11002786,1179249656.95,107.1774
1999,12,11686925,1429561840.49,122.3215
2000,12,12240185,1721067564.52,140.6080
2001,12,11991379,1865156284.63,155.5414
2002,12,12059150,1994535834.27,165.3961
2003,12,12092371,2146297548.38,177.4919
2004,12,12469280,2339730088.83,187.6396
2005,12,12899584,2563696256.30,198.7426
2006,12,13522148,2827372223.73,209.0919
2007,12,14057142,3080562245.96,219.1457
2008,12,14035416,3256631049.22,232.0295
2009,12,13872993,3314976331.28,238.9518
2010,12,14593151,3637875240.00,249.2865
2011,12,15203662,3961157796.01,260.5397
2012,12,15912017,4310799865.63,270.9147
2013,12,16380684,4613745988.94,281.6577
2014,12,17099184,5039191971.03,294.7037
2015,12,17740360,5440732816.09,306.6867
2016,12,18458320,5881691882.41,318.6472
2017,12,19263392,6477517909.79,336.2605
2018,12,19936081,7064308879.47,354.3479
2019,12,20282281,7669436556.82,378.1348
2020,12,19642661,8014351720.59,408.0074
2021,12,20489777,8985947123.05,438.5576
2022,12,21256660,10344517281.94,486.6483
2023,12,21916741,11788370449.55,537.8706
2024,12,22155184,13013819062.80,587.3939
2025,12,22451506,14096663560.77,627.8716
2026,5,22654943,15207152842.48,671.2510
